case_id	is_target	source_exp	source_variant	source_slug	source_tree	contact_source_case	raw_frame_count	trimmed_frames	fps
box021_20231018_032_p2	true	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231018_032_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231018_032_p2	119	76	30
box021_20231018_033_p1	true	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231018_033_p1	101	86	30
box021_20231018_033_p2	true	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231018_033_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231018_033_p2	101	97	30
box021_20231018_034_p1	false	E197_rerun	omnirt_v1	rl_partner_omnirt_omnirt_v1_box021_20231018_034_p1	/home/ubuntu/Workspace/spider/workspace/core4d/results/E197/s6_downstream/rl_export/partner_omnirt_rerun/omnirt_v1/results/omnirt_v1	box021_20231018_034_p2	102	65	30
box021_20231018_034_p2	true	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231018_034_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231018_034_p2	102	97	30
box021_20231018_035_p1	false	E197_rerun	omnirt_v1	rl_partner_omnirt_omnirt_v1_box021_20231018_035_p1	/home/ubuntu/Workspace/spider/workspace/core4d/results/E197/s6_downstream/rl_export/partner_omnirt_rerun/omnirt_v1/results/omnirt_v1	box021_20231018_035_p2	125	87	30
box021_20231018_035_p2	true	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231018_035_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231018_035_p2	125	94	30
box021_20231020_019_p1	true	E170	omnirt_v2	dcv3_omnirt_v2_ref_fk_box021_20231020_019_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v2/ref_fk/results/omnirt_v2_ref_fk	box021_20231020_019_p1	142	97	30
box021_20231020_019_p2	true	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231020_019_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231020_019_p2	142	100	30
box021_20231020_020_p1	true	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231020_020_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231020_020_p1	126	86	30
box021_20231020_020_p2	true	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231020_020_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231020_020_p2	126	86	30
box021_20231020_022_p1	true	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231020_022_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231020_022_p1	141	104	30
box021_20231020_022_p2	true	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231020_022_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231020_022_p2	141	105	30
box021_20231020_023_p1	true	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231020_023_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231020_023_p1	145	107	30
box021_20231020_023_p2	true	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231020_023_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231020_023_p2	145	110	30
box023_20231008_045_p1	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box023_20231008_045_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box023_20231008_045_p1	178	134	30
box023_20231008_045_p2	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box023_20231008_045_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box023_20231008_045_p2	178	134	30
box023_20231008_046_p1	false	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box023_20231008_046_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box023_20231008_046_p1	113	79	30
box023_20231008_046_p2	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box023_20231008_046_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box023_20231008_046_p2	113	78	30
box023_20231011_018_p1	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box023_20231011_018_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box023_20231011_018_p1	175	130	30
box023_20231011_018_p2	false	E173	omnirt_v2	dcv3_omnirt_v2_ref_fk_box023_20231011_018_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v2/ref_fk/results/omnirt_v2_ref_fk	box023_20231011_018_p2	175	116	30
box023_20231011_021_p1	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box023_20231011_021_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box023_20231011_021_p1	207	130	30
box023_20231011_021_p2	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box023_20231011_021_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box023_20231011_021_p2	207	129	30
box023_20231020_039_p1	false	E197_rerun	omnirt_v1	rl_partner_omnirt_omnirt_v1_box023_20231020_039_p1	/home/ubuntu/Workspace/spider/workspace/core4d/results/E197/s6_downstream/rl_export/partner_omnirt_rerun/omnirt_v1/results/omnirt_v1	box023_20231020_039_p2	134	95	30
box023_20231020_039_p2	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box023_20231020_039_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box023_20231020_039_p2	134	95	30
box023_20231020_040_p1	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box023_20231020_040_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box023_20231020_040_p1	151	107	30
box023_20231020_040_p2	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box023_20231020_040_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box023_20231020_040_p2	151	110	30
box023_20231020_041_p1	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box023_20231020_041_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box023_20231020_041_p1	148	112	30
box023_20231020_041_p2	false	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box023_20231020_041_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box023_20231020_041_p2	148	113	30
box023_20231020_042_p1	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box023_20231020_042_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box023_20231020_042_p1	160	105	30
box023_20231020_042_p2	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box023_20231020_042_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box023_20231020_042_p2	160	107	30
box024_20231011_027_p1	true	E173	omnirt_v2	dcv3_omnirt_v2_ref_fk_box024_20231011_027_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v2/ref_fk/results/omnirt_v2_ref_fk	box024_20231011_027_p1	192	132	30
box024_20231011_027_p2	true	E173	omnirt_v2	dcv3_omnirt_v2_ref_fk_box024_20231011_027_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v2/ref_fk/results/omnirt_v2_ref_fk	box024_20231011_027_p2	192	124	30
box024_20231011_028_p1	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box024_20231011_028_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box024_20231011_028_p1	179	144	30
box024_20231011_028_p2	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box024_20231011_028_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box024_20231011_028_p2	179	135	30
box024_20231011_030_p1	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box024_20231011_030_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box024_20231011_030_p1	202	102	30
box024_20231011_030_p2	false	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box024_20231011_030_p2	/home/ubuntu/Workspace/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box024_20231011_030_p2	202	99	30
box024_20231011_031_p1	true	E173	omnirt_v2	dcv3_omnirt_v2_ref_fk_box024_20231011_031_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v2/ref_fk/results/omnirt_v2_ref_fk	box024_20231011_031_p1	241	68	30
box024_20231011_031_p2	false	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box024_20231011_031_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box024_20231011_031_p2	241	74	30
