rank	target_task	tier	score	risk_label	object_key	object_name	sequence	date	seq	person	action	aabb_volume_m3	size_vs_box023_volume_ratio	extent_x_m	extent_y_m	extent_z_m	stage0_v2_decision	stage1_decision	stage1_raw_contact_score	target_both_active_frac_3cm	target_both_longest_run_active_frac_3cm	object_model_rel	source_scene_task	source_scene_exists	raw_contact_proxy_path	learned_note
12	e091_box021_20231011_035_p2	tier2_target_posture_gate_review	72.417	target_posture_gate_review	box021	Box021	20231011/035	20231011	035	person2	move1_obs0	0.059263425569176624	1.644905	0.39099037999999997	0.30309692	0.50007962	stage0_pass_to_stage1	raw_contact_pass	95.133	0.96	0.7867	box/box021_m.obj	box021_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231011_035_box021/raw_contact_proxy.npz	medium-large geometry (0.500m max edge, volume ratio 1.64, aspect 1.65); run target/posture gate before CEM
13	e091_box021_20231011_035_p1	tier2_target_posture_gate_review	72.377	target_posture_gate_review	box021	Box021	20231011/035	20231011	035	person1	move1_obs0	0.059263425569176624	1.644905	0.39099037999999997	0.30309692	0.50007962	stage0_pass_to_stage1	raw_contact_pass	95.933	0.9867	0.7067	box/box021_m.obj	box021_person1	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231011_035_box021/raw_contact_proxy.npz	medium-large geometry (0.500m max edge, volume ratio 1.64, aspect 1.65); run target/posture gate before CEM
14	e091_box021_20231020_019_p2	tier2_target_posture_gate_review	72.112	target_posture_gate_review	box021	Box021	20231020/019	20231020	019	person2	move2_obs0	0.059263425569176624	1.644905	0.39099037999999997	0.30309692	0.50007962	stage0_pass_to_stage1	raw_contact_pass	94.079	0.9474	0.8158	box/box021_m.obj	box021_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231020_019_box021/raw_contact_proxy.npz	medium-large geometry (0.500m max edge, volume ratio 1.64, aspect 1.65); run target/posture gate before CEM
15	e091_box021_20231020_019_p1	tier2_target_posture_gate_review	70.639	target_posture_gate_review	box021	Box021	20231020/019	20231020	019	person1	move2_obs0	0.059263425569176624	1.644905	0.39099037999999997	0.30309692	0.50007962	stage0_pass_to_stage1	raw_contact_pass	91.974	0.9211	0.7895	box/box021_m.obj	box021_person1	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231020_019_box021/raw_contact_proxy.npz	medium-large geometry (0.500m max edge, volume ratio 1.64, aspect 1.65); run target/posture gate before CEM
16	e091_box021_20231018_029_p1	tier2_target_posture_gate_review	68.942	target_posture_gate_review	box021	Box021	20231018/029	20231018	029	person1	move1_obs0	0.059263425569176624	1.644905	0.39099037999999997	0.30309692	0.50007962	stage0_pass_to_stage1	raw_contact_pass	90.625	0.875	0.75	box/box021_m.obj	box021_person1	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231018_029_box021/raw_contact_proxy.npz	medium-large geometry (0.500m max edge, volume ratio 1.64, aspect 1.65); run target/posture gate before CEM
17	e091_box021_20231018_029_p2	tier2_target_posture_gate_review	68.942	target_posture_gate_review	box021	Box021	20231018/029	20231018	029	person2	move1_obs0	0.059263425569176624	1.644905	0.39099037999999997	0.30309692	0.50007962	stage0_pass_to_stage1	raw_contact_pass	90.625	0.875	0.75	box/box021_m.obj	box021_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231018_029_box021/raw_contact_proxy.npz	medium-large geometry (0.500m max edge, volume ratio 1.64, aspect 1.65); run target/posture gate before CEM
18	e091_box021_20231018_030_p1	tier2_target_posture_gate_review	68.231	target_posture_gate_review	box021	Box021	20231018/030	20231018	030	person1	move2_obs0	0.059263425569176624	1.644905	0.39099037999999997	0.30309692	0.50007962	stage0_pass_to_stage1	raw_contact_pass	90.417	0.9167	0.6111	box/box021_m.obj	box021_person1	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231018_030_box021/raw_contact_proxy.npz	medium-large geometry (0.500m max edge, volume ratio 1.64, aspect 1.65); run target/posture gate before CEM
19	e091_box021_20231011_034_p1	tier2_target_posture_gate_review	66.832	target_posture_gate_review	box021	Box021	20231011/034	20231011	034	person1	move2_obs0	0.059263425569176624	1.644905	0.39099037999999997	0.30309692	0.50007962	stage0_pass_to_stage1	raw_contact_pass	90.402	0.9425	0.4253	box/box021_m.obj	box021_person1	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231011_034_box021/raw_contact_proxy.npz	medium-large geometry (0.500m max edge, volume ratio 1.64, aspect 1.65); run target/posture gate before CEM
20	e091_box022_20231023_125_p1	tier3_missing_raw_contact_long_edge_review	-22.996	missing_raw_contact_long_edge_review	box022	Box022	20231023/125	20231023	125	person1	move2_obs0	0.08280636411023616	2.298358	0.27080888000000003	0.66707501	0.45838051	stage0_boundary_review_to_stage1	not_run				box/box022_m.obj	box022_person1	False		missing D002 raw-contact; long edge 0.667m / volume ratio 2.30 needs review
21	e091_box022_20231023_125_p2	tier3_missing_raw_contact_long_edge_review	-22.996	missing_raw_contact_long_edge_review	box022	Box022	20231023/125	20231023	125	person2	move2_obs0	0.08280636411023616	2.298358	0.27080888000000003	0.66707501	0.45838051	stage0_boundary_review_to_stage1	not_run				box/box022_m.obj	box022_person2	False		missing D002 raw-contact; long edge 0.667m / volume ratio 2.30 needs review
22	e091_box022_20231023_126_p1	tier3_missing_raw_contact_long_edge_review	-22.996	missing_raw_contact_long_edge_review	box022	Box022	20231023/126	20231023	126	person1	move1_obs0	0.08280636411023616	2.298358	0.27080888000000003	0.66707501	0.45838051	stage0_boundary_review_to_stage1	not_run				box/box022_m.obj	box022_person1	False		missing D002 raw-contact; long edge 0.667m / volume ratio 2.30 needs review
23	e091_box022_20231023_126_p2	tier3_missing_raw_contact_long_edge_review	-22.996	missing_raw_contact_long_edge_review	box022	Box022	20231023/126	20231023	126	person2	move1_obs0	0.08280636411023616	2.298358	0.27080888000000003	0.66707501	0.45838051	stage0_boundary_review_to_stage1	not_run				box/box022_m.obj	box022_person2	False		missing D002 raw-contact; long edge 0.667m / volume ratio 2.30 needs review
24	e091_box022_20231023_127_p1	tier3_missing_raw_contact_long_edge_review	-22.996	missing_raw_contact_long_edge_review	box022	Box022	20231023/127	20231023	127	person1	move2_obs1	0.08280636411023616	2.298358	0.27080888000000003	0.66707501	0.45838051	stage0_boundary_review_to_stage1	not_run				box/box022_m.obj	box022_person1	False		missing D002 raw-contact; long edge 0.667m / volume ratio 2.30 needs review
25	e091_box022_20231023_127_p2	tier3_missing_raw_contact_long_edge_review	-22.996	missing_raw_contact_long_edge_review	box022	Box022	20231023/127	20231023	127	person2	move2_obs1	0.08280636411023616	2.298358	0.27080888000000003	0.66707501	0.45838051	stage0_boundary_review_to_stage1	not_run				box/box022_m.obj	box022_person2	False		missing D002 raw-contact; long edge 0.667m / volume ratio 2.30 needs review
26	e091_box026_20231018_039_p2	tier4_large_reach_dynamics_holdout	51.392	large_reach_dynamics_holdout	box026	Box026	20231018/039	20231018	039	person2	move2_obs0	0.11636366252468756	3.229768	0.6289734499999999	0.39449338	0.46897031	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	box/box026_m.obj	box026_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231018_039_box026/raw_contact_proxy.npz	large geometry (0.629m max edge, volume ratio 3.23); recent large-box CEM failures require separate repair route
27	e091_box026_20231018_040_p2	tier4_large_reach_dynamics_holdout	51.392	large_reach_dynamics_holdout	box026	Box026	20231018/040	20231018	040	person2	move1_obs0	0.11636366252468756	3.229768	0.6289734499999999	0.39449338	0.46897031	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	box/box026_m.obj	box026_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231018_040_box026/raw_contact_proxy.npz	large geometry (0.629m max edge, volume ratio 3.23); recent large-box CEM failures require separate repair route
28	e091_box026_20231020_134_p1	tier4_large_reach_dynamics_holdout	51.392	large_reach_dynamics_holdout	box026	Box026	20231020/134	20231020	134	person1	move2_obs0	0.11636366252468756	3.229768	0.6289734499999999	0.39449338	0.46897031	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	box/box026_m.obj	box026_person1	False	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231020_134_box026/raw_contact_proxy.npz	large geometry (0.629m max edge, volume ratio 3.23); recent large-box CEM failures require separate repair route
29	e091_box026_20231020_134_p2	tier4_large_reach_dynamics_holdout	51.392	large_reach_dynamics_holdout	box026	Box026	20231020/134	20231020	134	person2	move2_obs0	0.11636366252468756	3.229768	0.6289734499999999	0.39449338	0.46897031	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	box/box026_m.obj	box026_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231020_134_box026/raw_contact_proxy.npz	large geometry (0.629m max edge, volume ratio 3.23); recent large-box CEM failures require separate repair route
30	e091_box026_20231020_135_p2	tier4_large_reach_dynamics_holdout	51.392	large_reach_dynamics_holdout	box026	Box026	20231020/135	20231020	135	person2	move1_obs0	0.11636366252468756	3.229768	0.6289734499999999	0.39449338	0.46897031	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	box/box026_m.obj	box026_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231020_135_box026/raw_contact_proxy.npz	large geometry (0.629m max edge, volume ratio 3.23); recent large-box CEM failures require separate repair route
31	e091_box026_20231020_135_p1	tier4_large_reach_dynamics_holdout	37.309	large_reach_dynamics_holdout	box026	Box026	20231020/135	20231020	135	person1	move1_obs0	0.11636366252468756	3.229768	0.6289734499999999	0.39449338	0.46897031	stage0_pass_to_stage1	raw_contact_pass	85.0	0.8333	0.4167	box/box026_m.obj	box026_person1	False	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231020_135_box026/raw_contact_proxy.npz	large geometry (0.629m max edge, volume ratio 3.23); recent large-box CEM failures require separate repair route
32	e091_box026_20231018_039_p1	tier4_large_reach_dynamics_holdout	24.916	large_reach_dynamics_holdout	box026	Box026	20231018/039	20231018	039	person1	move2_obs0	0.11636366252468756	3.229768	0.6289734499999999	0.39449338	0.46897031	stage0_pass_to_stage1	raw_contact_pass	66.867	0.5067	0.4	box/box026_m.obj	box026_person1	False	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231018_039_box026/raw_contact_proxy.npz	large geometry (0.629m max edge, volume ratio 3.23); recent large-box CEM failures require separate repair route
