ordinal	row_id	manifest_exp_id	source_exp_id	source_method_id	canonical_method_id	method_display	case_id	short_case_id	variant	qpos_path	scene_xml	video_path	contact_mask_path	kin_ref_path	person_idx	hand_collision_variant_id	object_key	object_category	expected_quality	baseline_method_id	baseline_source_exp_id	baseline_variant	baseline_qpos_path	baseline_scene_xml	baseline_contact_mask_path	baseline_kin_ref_path	baseline_status	row_status	notes
11	E162_0011_E148_spiderrubberhand_box023_person2	E148	E147	spider-rubberhand	E148_spiderrubberhand	spider-rubberhand	box023_person2	box023_person2	E148_box023_person2_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull_full.mp4	workspace/core4d/results/E143/contact_masks/box023_person2/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj_e026_e081/0/trajectory_kinematic.npz	1	rubber_hull	box023	box	review	E147_spider_rubberhand	E147	E147_box023_person2_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E143/contact_masks/box023_person2/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/0/trajectory_kinematic.npz	ok	ok	
12	E162_0012_E148_spiderrubberhand_bucket004_20231002_022_p1	E148	E148	spider-rubberhand	E148_spiderrubberhand	spider-rubberhand	bucket004_20231002_022_p1	bucket004_20231002_022_p1	E148_bucket004_20231002_022_p1_rubber_hull	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_bucket004_20231002_022_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p1/scene_act_E148_rubber_hull.xml	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_bucket004_20231002_022_p1_rubber_hull_full.mp4	workspace/core4d/results/E143/contact_masks/bucket004_20231002_022_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p1/0/trajectory_kinematic.npz	0	rubber_hull	bucket004	bucket	review	E147_spider_rubberhand							missing_e147_case	ok	
13	E162_0013_E148_spiderrubberhand_bucket004_20231003_1_012_p1	E148	E147	spider-rubberhand	E148_spiderrubberhand	spider-rubberhand	bucket004_20231003_1_012_p1	bucket004_20231003_1_012_p1	E148_bucket004_20231003_1_012_p1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_bucket004_20231003_1_012_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_bucket004_20231003_1_012_p1_rubber_hull_full.mp4	workspace/core4d/results/E143/contact_masks/bucket004_20231003_1_012_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/0/trajectory_kinematic.npz	0	rubber_hull	bucket004	bucket	known_visual_fail	E147_spider_rubberhand	E147	E147_bucket004_20231003_1_012_p1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_bucket004_20231003_1_012_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E143/contact_masks/bucket004_20231003_1_012_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/0/trajectory_kinematic.npz	ok	ok	
14	E162_0014_E148_spiderrubberhand_box021_035_p1	E148	E147	spider-rubberhand	E148_spiderrubberhand	spider-rubberhand	d003_box021_20231011_035_p1	box021_035_p1	E148_box021_035_p1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull_full.mp4	workspace/core4d/results/E143/contact_masks/box021_035_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/0/trajectory_kinematic.npz	0	rubber_hull	box021	box	review	E147_spider_rubberhand	E147	E147_d003_box021_20231011_035_p1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E143/contact_masks/box021_035_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/0/trajectory_kinematic.npz	ok	ok	
15	E162_0015_E148_spiderrubberhand_box021_035_p2	E148	E147	spider-rubberhand	E148_spiderrubberhand	spider-rubberhand	d003_box021_20231011_035_p2	box021_035_p2	E148_box021_035_p2_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull_full.mp4	workspace/core4d/results/E143/contact_masks/box021_035_p2/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/0/trajectory_kinematic.npz	1	rubber_hull	box021	box	review	E147_spider_rubberhand	E147	E147_d003_box021_20231011_035_p2_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E143/contact_masks/box021_035_p2/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/0/trajectory_kinematic.npz	ok	ok	
16	E162_0016_E148_spiderrubberhand_box021_029_p2	E148	E148	spider-rubberhand	E148_spiderrubberhand	spider-rubberhand	d003_box021_20231018_029_p2	box021_029_p2	E148_box021_029_p2_rubber_hull	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act_E148_rubber_hull.xml	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_full.mp4	workspace/core4d/results/E143/contact_masks/box021_029_p2/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/0/trajectory_kinematic.npz	1	rubber_hull	box021	box	review	E147_spider_rubberhand							missing_e147_case	ok	
17	E162_0017_E148_spiderrubberhand_box004_082_p1	E148	E147	spider-rubberhand	E148_spiderrubberhand	spider-rubberhand	e091_box004_20231003_2_082_p1	box004_082_p1	E148_box004_082_p1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_082_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_082_p1_rubber_hull_full.mp4	workspace/core4d/results/E143/contact_masks/box004_082_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/0/trajectory_kinematic.npz	0	rubber_hull	box004	box	review	E147_spider_rubberhand	E147	E147_e091_box004_20231003_2_082_p1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_082_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E143/contact_masks/box004_082_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/0/trajectory_kinematic.npz	ok	ok	
18	E162_0018_E148_spiderrubberhand_box004_083_p1	E148	E147	spider-rubberhand	E148_spiderrubberhand	spider-rubberhand	e091_box004_20231003_2_083_p1	box004_083_p1	E148_box004_083_p1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_083_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_083_p1_rubber_hull_full.mp4	workspace/core4d/results/E143/contact_masks/box004_083_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/0/trajectory_kinematic.npz	0	rubber_hull	box004	box	review	E147_spider_rubberhand	E147	E147_e091_box004_20231003_2_083_p1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_083_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E143/contact_masks/box004_083_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/0/trajectory_kinematic.npz	ok	ok	
19	E162_0019_E148_spiderrubberhand_box004_083_p2	E148	E148	spider-rubberhand	E148_spiderrubberhand	spider-rubberhand	e091_box004_20231003_2_083_p2	box004_083_p2	E148_box004_083_p2_rubber_hull	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene_act_E148_rubber_hull.xml	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_full.mp4	workspace/core4d/results/E143/contact_masks/box004_083_p2/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/0/trajectory_kinematic.npz	1	rubber_hull	box004	box	review	E147_spider_rubberhand							missing_e147_case	ok	
20	E162_0020_E148_spiderrubberhand_box026_039_p1	E148	E148	spider-rubberhand	E148_spiderrubberhand	spider-rubberhand	e091_box026_20231018_039_p1	box026_039_p1	E148_box026_039_p1_rubber_hull	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box026_039_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231018_039_p1_e106_clean/scene_act_E148_rubber_hull.xml	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box026_039_p1_rubber_hull_full.mp4	workspace/core4d/results/E143/contact_masks/box026_039_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231018_039_p1_e106_clean/0/trajectory_kinematic.npz	0	rubber_hull	box026	box	review	E147_spider_rubberhand							missing_e147_case	ok	
