# E143 raw_mask_ref_fk 24-case variants
# ordinal	variant	e109_case_id	case_id	object_key	target_variant_id	source_task	derived_task	person_idx	split	ablation	mask_path	mask_kind	source_mask_path	baseline_npz_path	baseline_run_id	omni_qpos_path	omni_scene_xml	spider_scene_xml	override	run_status	reuse_source_exp	reuse_npz_path	reuse_video_path	reuse_outdir_npz_path
11	E143_box026_039_p2_raw_mask_ref_fk	e091_box026_20231018_039_p2	box026_039_p2	box026	ref_fk	e091_box026_20231018_039_p2	e091_box026_20231018_039_p2_e106_clean	1	remote-gpu1	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box026_039_p2/raw_contact_mask_3cm.npz	e104_raw_proxy_converted	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231018_039_box026/raw_contact_proxy.npz	workspace/core4d/results/E106/cem/full/E106B01_box026_20231018_039_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	E106B01_box026_20231018_039_p2_ref_fk_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231018_039_p2_e106_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231018_039_p2_e106_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231018_039_p2_e106_clean/scene_act.xml	examples/config/override/core4d_E143_box026_039_p2_raw_mask_ref_fk.yaml	to_run				
12	E143_box026_133_p1_raw_mask_ref_fk	e091_box026_20231020_133_p1	box026_133_p1	box026	ref_fk	e091_box026_20231020_133_p1	e091_box026_20231020_133_p1_e106_clean	0	local-gpu0	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box026_133_p1/raw_contact_mask_3cm.npz	e104_raw_proxy_converted	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_133_box026/raw_contact_proxy.npz	workspace/core4d/results/E106/cem/full/E106B23_box026_20231020_133_p1_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	E106B23_box026_20231020_133_p1_ref_fk_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_133_p1_e106_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_133_p1_e106_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_133_p1_e106_clean/scene_act.xml	examples/config/override/core4d_E143_box026_133_p1_raw_mask_ref_fk.yaml	to_run				
13	E143_box026_133_p2_raw_mask_ref_fk	e091_box026_20231020_133_p2	box026_133_p2	box026	ref_fk	e091_box026_20231020_133_p2	e091_box026_20231020_133_p2_e106_clean	1	remote-gpu0	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box026_133_p2/raw_contact_mask_3cm.npz	e104_raw_proxy_converted	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_133_box026/raw_contact_proxy.npz	workspace/core4d/results/E106/cem/full/E106B21_box026_20231020_133_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	E106B21_box026_20231020_133_p2_ref_fk_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_133_p2_e106_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_133_p2_e106_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_133_p2_e106_clean/scene_act.xml	examples/config/override/core4d_E143_box026_133_p2_raw_mask_ref_fk.yaml	to_run				
14	E143_box026_134_p1_raw_mask_ref_fk	e091_box026_20231020_134_p1	box026_134_p1	box026	ref_fk	e091_box026_20231020_134_p1	e091_box026_20231020_134_p1_e106_clean	0	remote-gpu1	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box026_134_p1/raw_contact_mask_3cm.npz	e104_raw_proxy_converted	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_134_box026/raw_contact_proxy.npz	workspace/core4d/results/E106/cem/full/E106B05_box026_20231020_134_p1_ref_fk_clean.npz	E106B05_box026_20231020_134_p1_ref_fk_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p1_e106_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p1_e106_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p1_e106_clean/scene_act.xml	examples/config/override/core4d_E143_box026_134_p1_raw_mask_ref_fk.yaml	to_run				
15	E143_box026_134_p2_raw_mask_ref_fk	e091_box026_20231020_134_p2	box026_134_p2	box026	ref_fk	e091_box026_20231020_134_p2	e091_box026_20231020_134_p2_e106_clean	1	local-gpu0	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box026_134_p2/raw_contact_mask_3cm.npz	e104_raw_proxy_converted	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_134_box026/raw_contact_proxy.npz	workspace/core4d/results/E106/cem/full/E106B06_box026_20231020_134_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	E106B06_box026_20231020_134_p2_ref_fk_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p2_e106_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p2_e106_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p2_e106_clean/scene_act.xml	examples/config/override/core4d_E143_box026_134_p2_raw_mask_ref_fk.yaml	to_run				
16	E143_box026_135_p1_raw_mask_ref_fk	e091_box026_20231020_135_p1	box026_135_p1	box026	ref_fk	e091_box026_20231020_135_p1	e091_box026_20231020_135_p1_e106_clean	0	already_done	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box026_135_p1/raw_contact_mask_3cm.npz	mjwp_compatible_copied	workspace/core4d/results/E112/contact_masks/box026_135_p1/raw_contact_mask_3cm.npz	workspace/core4d/results/E106/cem/full/E106B22_box026_20231020_135_p1_ref_fk_clean.npz	E106B22_box026_20231020_135_p1_ref_fk_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_135_p1_e106_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_135_p1_e106_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_135_p1_e106_clean/scene_act.xml	examples/config/override/core4d_E143_box026_135_p1_raw_mask_ref_fk.yaml	already_done	E112	workspace/core4d/results/E112/cem/full/E112_box026_135_p1_raw_mask_ref_fk.npz	workspace/core4d/results/E112/cem/full/E112_box026_135_p1_raw_mask_ref_fk_full.mp4	workspace/core4d/results/E112/cem/full/E112_box026_135_p1_raw_mask_ref_fk_outdir_full/trajectory_mjwp_act.npz
17	E143_box026_135_p2_raw_mask_ref_fk	e091_box026_20231020_135_p2	box026_135_p2	box026	ref_fk	e091_box026_20231020_135_p2	e091_box026_20231020_135_p2_e106_clean	1	remote-gpu0	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box026_135_p2/raw_contact_mask_3cm.npz	e104_raw_proxy_converted	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_135_box026/raw_contact_proxy.npz	workspace/core4d/results/E106/cem/full/E106B02_box026_20231020_135_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	E106B02_box026_20231020_135_p2_ref_fk_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_135_p2_e106_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_135_p2_e106_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_135_p2_e106_clean/scene_act.xml	examples/config/override/core4d_E143_box026_135_p2_raw_mask_ref_fk.yaml	to_run				
18	E143_box026_138_p2_raw_mask_ref_fk	e091_box026_20231020_138_p2	box026_138_p2	box026	ref_fk	e091_box026_20231020_138_p2	e091_box026_20231020_138_p2_e106_clean	1	remote-gpu1	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box026_138_p2/raw_contact_mask_3cm.npz	e104_raw_proxy_converted	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_138_box026/raw_contact_proxy.npz	workspace/core4d/results/E106/cem/full/E106B10_box026_20231020_138_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	E106B10_box026_20231020_138_p2_ref_fk_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_138_p2_e106_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_138_p2_e106_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_138_p2_e106_clean/scene_act.xml	examples/config/override/core4d_E143_box026_138_p2_raw_mask_ref_fk.yaml	to_run				
19	E143_box026_20231020_139_p2_raw_mask_ref_fk	e091_box026_20231020_139_p2	box026_20231020_139_p2	box026	ref_fk	e091_box026_20231020_139_p2	e091_box026_20231020_139_p2_e106_clean	1	local-gpu0	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box026_20231020_139_p2/raw_contact_mask_3cm.npz	e104_raw_proxy_converted	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_139_box026/raw_contact_proxy.npz	workspace/core4d/results/E106/cem/full/E106B12_box026_20231020_139_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	E106B12_box026_20231020_139_p2_ref_fk_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_139_p2_e106_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_139_p2_e106_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_139_p2_e106_clean/scene_act.xml	examples/config/override/core4d_E143_box026_20231020_139_p2_raw_mask_ref_fk.yaml	to_run				
20	E143_box026_141_p1_raw_mask_ref_fk	e091_box026_20231020_141_p1	box026_141_p1	box026	ref_fk	e091_box026_20231020_141_p1	e091_box026_20231020_141_p1_e106_clean	0	remote-gpu0	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box026_141_p1/raw_contact_mask_3cm.npz	e104_raw_proxy_converted	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_141_box026/raw_contact_proxy.npz	workspace/core4d/results/E106/cem/full/E106B27_box026_20231020_141_p1_ref_fk_clean.npz	E106B27_box026_20231020_141_p1_ref_fk_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_141_p1_e106_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_141_p1_e106_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_141_p1_e106_clean/scene_act.xml	examples/config/override/core4d_E143_box026_141_p1_raw_mask_ref_fk.yaml	to_run				
21	E143_box026_141_p2_raw_mask_ref_fk	e091_box026_20231020_141_p2	box026_141_p2	box026	ref_fk	e091_box026_20231020_141_p2	e091_box026_20231020_141_p2_e106_clean	1	remote-gpu1	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box026_141_p2/raw_contact_mask_3cm.npz	e104_raw_proxy_converted	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_141_box026/raw_contact_proxy.npz	workspace/core4d/results/E106/cem/full/E106B19_box026_20231020_141_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	E106B19_box026_20231020_141_p2_ref_fk_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_141_p2_e106_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_141_p2_e106_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_141_p2_e106_clean/scene_act.xml	examples/config/override/core4d_E143_box026_141_p2_raw_mask_ref_fk.yaml	to_run				
22	E143_box026_137_p1_raw_mask_ref_fk	e091_box026_20231023_137_p1	box026_137_p1	box026	ref_fk	e091_box026_20231023_137_p1	e091_box026_20231023_137_p1_e106_clean	0	local-gpu0	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box026_137_p1/raw_contact_mask_3cm.npz	e104_raw_proxy_converted	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231023_137_box026/raw_contact_proxy.npz	workspace/core4d/results/E106/cem/full/E106B15_box026_20231023_137_p1_ref_fk_clean.npz	E106B15_box026_20231023_137_p1_ref_fk_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231023_137_p1_e106_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231023_137_p1_e106_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231023_137_p1_e106_clean/scene_act.xml	examples/config/override/core4d_E143_box026_137_p1_raw_mask_ref_fk.yaml	to_run				
23	E143_box026_139_p1_raw_mask_ref_fk	e091_box026_20231023_139_p1	box026_139_p1	box026	ref_fk	e091_box026_20231023_139_p1	e091_box026_20231023_139_p1_e106_clean	0	remote-gpu0	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box026_139_p1/raw_contact_mask_3cm.npz	e104_raw_proxy_converted	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231023_139_box026/raw_contact_proxy.npz	workspace/core4d/results/E106/cem/full/E106B14_box026_20231023_139_p1_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	E106B14_box026_20231023_139_p1_ref_fk_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231023_139_p1_e106_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231023_139_p1_e106_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231023_139_p1_e106_clean/scene_act.xml	examples/config/override/core4d_E143_box026_139_p1_raw_mask_ref_fk.yaml	to_run				
24	E143_box026_20231023_139_p2_raw_mask_ref_fk	e091_box026_20231023_139_p2	box026_20231023_139_p2	box026	ref_fk	e091_box026_20231023_139_p2	e091_box026_20231023_139_p2_e106_clean	1	remote-gpu1	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box026_20231023_139_p2/raw_contact_mask_3cm.npz	e104_raw_proxy_converted	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231023_139_box026/raw_contact_proxy.npz	workspace/core4d/results/E106/cem/full/E106B20_box026_20231023_139_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	E106B20_box026_20231023_139_p2_ref_fk_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231023_139_p2_e106_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231023_139_p2_e106_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231023_139_p2_e106_clean/scene_act.xml	examples/config/override/core4d_E143_box026_20231023_139_p2_raw_mask_ref_fk.yaml	to_run				
