case_id	object_key	video	status	frames	fps	content	error
box021_20231018_032_p2	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231018_032_p2_omnirt_only.mp4	rendered	76	30	OmniRetarget converted qpos only; no Spider/PRG	
box021_20231018_033_p1	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231018_033_p1_omnirt_only.mp4	rendered	86	30	OmniRetarget converted qpos only; no Spider/PRG	
box021_20231018_033_p2	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231018_033_p2_omnirt_only.mp4	rendered	97	30	OmniRetarget converted qpos only; no Spider/PRG	
box021_20231018_034_p2	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231018_034_p2_omnirt_only.mp4	rendered	97	30	OmniRetarget converted qpos only; no Spider/PRG	
box021_20231018_035_p2	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231018_035_p2_omnirt_only.mp4	rendered	94	30	OmniRetarget converted qpos only; no Spider/PRG	
box021_20231020_019_p1	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231020_019_p1_omnirt_only.mp4	rendered	97	30	OmniRetarget converted qpos only; no Spider/PRG	
box021_20231020_019_p2	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231020_019_p2_omnirt_only.mp4	rendered	100	30	OmniRetarget converted qpos only; no Spider/PRG	
box021_20231020_020_p1	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231020_020_p1_omnirt_only.mp4	rendered	86	30	OmniRetarget converted qpos only; no Spider/PRG	
box021_20231020_020_p2	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231020_020_p2_omnirt_only.mp4	rendered	86	30	OmniRetarget converted qpos only; no Spider/PRG	
box021_20231020_022_p1	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231020_022_p1_omnirt_only.mp4	rendered	104	30	OmniRetarget converted qpos only; no Spider/PRG	
box021_20231020_022_p2	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231020_022_p2_omnirt_only.mp4	rendered	105	30	OmniRetarget converted qpos only; no Spider/PRG	
box021_20231020_023_p1	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231020_023_p1_omnirt_only.mp4	rendered	107	30	OmniRetarget converted qpos only; no Spider/PRG	
box021_20231020_023_p2	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231020_023_p2_omnirt_only.mp4	rendered	110	30	OmniRetarget converted qpos only; no Spider/PRG	
box023_20231008_045_p1	box023	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box023_20231008_045_p1_omnirt_only.mp4	rendered	134	30	OmniRetarget converted qpos only; no Spider/PRG	
box023_20231008_045_p2	box023	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box023_20231008_045_p2_omnirt_only.mp4	rendered	134	30	OmniRetarget converted qpos only; no Spider/PRG	
box023_20231008_046_p2	box023	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box023_20231008_046_p2_omnirt_only.mp4	rendered	78	30	OmniRetarget converted qpos only; no Spider/PRG	
box023_20231011_018_p1	box023	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box023_20231011_018_p1_omnirt_only.mp4	rendered	130	30	OmniRetarget converted qpos only; no Spider/PRG	
box023_20231011_021_p1	box023	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box023_20231011_021_p1_omnirt_only.mp4	rendered	130	30	OmniRetarget converted qpos only; no Spider/PRG	
box023_20231011_021_p2	box023	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box023_20231011_021_p2_omnirt_only.mp4	rendered	129	30	OmniRetarget converted qpos only; no Spider/PRG	
box023_20231020_039_p2	box023	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box023_20231020_039_p2_omnirt_only.mp4	rendered	95	30	OmniRetarget converted qpos only; no Spider/PRG	
box023_20231020_040_p1	box023	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box023_20231020_040_p1_omnirt_only.mp4	rendered	107	30	OmniRetarget converted qpos only; no Spider/PRG	
box023_20231020_040_p2	box023	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box023_20231020_040_p2_omnirt_only.mp4	rendered	110	30	OmniRetarget converted qpos only; no Spider/PRG	
box023_20231020_041_p1	box023	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box023_20231020_041_p1_omnirt_only.mp4	rendered	112	30	OmniRetarget converted qpos only; no Spider/PRG	
box023_20231020_042_p1	box023	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box023_20231020_042_p1_omnirt_only.mp4	rendered	105	30	OmniRetarget converted qpos only; no Spider/PRG	
box023_20231020_042_p2	box023	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box023_20231020_042_p2_omnirt_only.mp4	rendered	107	30	OmniRetarget converted qpos only; no Spider/PRG	
box024_20231011_027_p1	box024	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box024_20231011_027_p1_omnirt_only.mp4	rendered	132	30	OmniRetarget converted qpos only; no Spider/PRG	
box024_20231011_027_p2	box024	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box024_20231011_027_p2_omnirt_only.mp4	rendered	124	30	OmniRetarget converted qpos only; no Spider/PRG	
box024_20231011_028_p1	box024	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box024_20231011_028_p1_omnirt_only.mp4	rendered	144	30	OmniRetarget converted qpos only; no Spider/PRG	
box024_20231011_028_p2	box024	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box024_20231011_028_p2_omnirt_only.mp4	rendered	135	30	OmniRetarget converted qpos only; no Spider/PRG	
box024_20231011_030_p1	box024	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box024_20231011_030_p1_omnirt_only.mp4	rendered	102	30	OmniRetarget converted qpos only; no Spider/PRG	
box024_20231011_031_p1	box024	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box024_20231011_031_p1_omnirt_only.mp4	rendered	68	30	OmniRetarget converted qpos only; no Spider/PRG	
