# E145 raw_mask_ref_fk full CEM variants
ordinal	variant	case_id	object_key	object_category	person	person_idx	split	ablation	retarget_variant_id	target_variant_id	derived_task	target_scene	trajectory	scene_act	mask_path	mask_kind	override	object_asset	remote_sync_key	handoff_decision	candidate_decision	raw_contact_threshold_label	run_status
11	E145_bucket004_20231002_022_p1_raw_mask_ref_fk	bucket004_20231002_022_p1	bucket004	bucket	person1	0	remote-gpu0	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p1	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p1/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p1/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p1/scene_act.xml	workspace/core4d/results/E145/full_nonbox_to_rl_ready/contact_masks/bucket004_20231002_022_p1/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E145_bucket004_20231002_022_p1_raw_mask_ref_fk.yaml	example_datasets/processed/core4d/assets/objects/bucket004/bucket004_m.obj	assets/objects/bucket004	HANDOFF_READY	PASS	5cm	to_run
12	E145_bucket004_20231002_022_p2_raw_mask_ref_fk	bucket004_20231002_022_p2	bucket004	bucket	person2	1	remote-gpu1	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p2	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p2/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p2/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p2/scene_act.xml	workspace/core4d/results/E145/full_nonbox_to_rl_ready/contact_masks/bucket004_20231002_022_p2/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E145_bucket004_20231002_022_p2_raw_mask_ref_fk.yaml	example_datasets/processed/core4d/assets/objects/bucket004/bucket004_m.obj	assets/objects/bucket004	HANDOFF_READY	PASS	5cm	to_run
13	E145_bucket004_20231003_1_012_p1_raw_mask_ref_fk	bucket004_20231003_1_012_p1	bucket004	bucket	person1	0	local-gpu0	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/scene_act.xml	workspace/core4d/results/E145/full_nonbox_to_rl_ready/contact_masks/bucket004_20231003_1_012_p1/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E145_bucket004_20231003_1_012_p1_raw_mask_ref_fk.yaml	example_datasets/processed/core4d/assets/objects/bucket004/bucket004_m.obj	assets/objects/bucket004	HANDOFF_READY	PASS	5cm	to_run
14	E145_bucket004_20231003_1_012_p2_raw_mask_ref_fk	bucket004_20231003_1_012_p2	bucket004	bucket	person2	1	remote-gpu0	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p2	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p2/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p2/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p2/scene_act.xml	workspace/core4d/results/E145/full_nonbox_to_rl_ready/contact_masks/bucket004_20231003_1_012_p2/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E145_bucket004_20231003_1_012_p2_raw_mask_ref_fk.yaml	example_datasets/processed/core4d/assets/objects/bucket004/bucket004_m.obj	assets/objects/bucket004	HANDOFF_READY	PASS	5cm	to_run
15	E145_bucket007_20231003_1_021_p1_raw_mask_ref_fk	bucket007_20231003_1_021_p1	bucket007	bucket	person1	0	remote-gpu1	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket007_20231003_1_021_p1	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231003_1_021_p1/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231003_1_021_p1/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231003_1_021_p1/scene_act.xml	workspace/core4d/results/E145/full_nonbox_to_rl_ready/contact_masks/bucket007_20231003_1_021_p1/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E145_bucket007_20231003_1_021_p1_raw_mask_ref_fk.yaml	example_datasets/processed/core4d/assets/objects/bucket007/bucket007_m.obj	assets/objects/bucket007	HANDOFF_READY	PASS	5cm	to_run
16	E145_bucket007_20231003_1_021_p2_raw_mask_ref_fk	bucket007_20231003_1_021_p2	bucket007	bucket	person2	1	local-gpu0	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket007_20231003_1_021_p2	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231003_1_021_p2/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231003_1_021_p2/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231003_1_021_p2/scene_act.xml	workspace/core4d/results/E145/full_nonbox_to_rl_ready/contact_masks/bucket007_20231003_1_021_p2/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E145_bucket007_20231003_1_021_p2_raw_mask_ref_fk.yaml	example_datasets/processed/core4d/assets/objects/bucket007/bucket007_m.obj	assets/objects/bucket007	HANDOFF_READY	PASS	5cm	to_run
17	E145_bucket007_20231003_1_022_p1_raw_mask_ref_fk	bucket007_20231003_1_022_p1	bucket007	bucket	person1	0	remote-gpu0	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket007_20231003_1_022_p1	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231003_1_022_p1/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231003_1_022_p1/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231003_1_022_p1/scene_act.xml	workspace/core4d/results/E145/full_nonbox_to_rl_ready/contact_masks/bucket007_20231003_1_022_p1/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E145_bucket007_20231003_1_022_p1_raw_mask_ref_fk.yaml	example_datasets/processed/core4d/assets/objects/bucket007/bucket007_m.obj	assets/objects/bucket007	HANDOFF_READY	PASS	5cm	to_run
18	E145_bucket007_20231003_1_022_p2_raw_mask_ref_fk	bucket007_20231003_1_022_p2	bucket007	bucket	person2	1	remote-gpu1	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket007_20231003_1_022_p2	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231003_1_022_p2/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231003_1_022_p2/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231003_1_022_p2/scene_act.xml	workspace/core4d/results/E145/full_nonbox_to_rl_ready/contact_masks/bucket007_20231003_1_022_p2/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E145_bucket007_20231003_1_022_p2_raw_mask_ref_fk.yaml	example_datasets/processed/core4d/assets/objects/bucket007/bucket007_m.obj	assets/objects/bucket007	HANDOFF_READY	PASS	5cm	to_run
19	E145_bucket007_20231003_2_021_p1_raw_mask_ref_fk	bucket007_20231003_2_021_p1	bucket007	bucket	person1	0	local-gpu0	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket007_20231003_2_021_p1	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231003_2_021_p1/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231003_2_021_p1/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231003_2_021_p1/scene_act.xml	workspace/core4d/results/E145/full_nonbox_to_rl_ready/contact_masks/bucket007_20231003_2_021_p1/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E145_bucket007_20231003_2_021_p1_raw_mask_ref_fk.yaml	example_datasets/processed/core4d/assets/objects/bucket007/bucket007_m.obj	assets/objects/bucket007	HANDOFF_READY	PASS	5cm	to_run
20	E145_bucket007_20231018_019_p1_raw_mask_ref_fk	bucket007_20231018_019_p1	bucket007	bucket	person1	0	remote-gpu0	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket007_20231018_019_p1	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231018_019_p1/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231018_019_p1/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231018_019_p1/scene_act.xml	workspace/core4d/results/E145/full_nonbox_to_rl_ready/contact_masks/bucket007_20231018_019_p1/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E145_bucket007_20231018_019_p1_raw_mask_ref_fk.yaml	example_datasets/processed/core4d/assets/objects/bucket007/bucket007_m.obj	assets/objects/bucket007	HANDOFF_READY	PASS	5cm	to_run
21	E145_bucket007_20231018_019_p2_raw_mask_ref_fk	bucket007_20231018_019_p2	bucket007	bucket	person2	1	remote-gpu1	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket007_20231018_019_p2	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231018_019_p2/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231018_019_p2/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231018_019_p2/scene_act.xml	workspace/core4d/results/E145/full_nonbox_to_rl_ready/contact_masks/bucket007_20231018_019_p2/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E145_bucket007_20231018_019_p2_raw_mask_ref_fk.yaml	example_datasets/processed/core4d/assets/objects/bucket007/bucket007_m.obj	assets/objects/bucket007	HANDOFF_READY	PASS	5cm	to_run
22	E145_bucket007_20231020_055_p1_raw_mask_ref_fk	bucket007_20231020_055_p1	bucket007	bucket	person1	0	local-gpu0	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket007_20231020_055_p1	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231020_055_p1/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231020_055_p1/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231020_055_p1/scene_act.xml	workspace/core4d/results/E145/full_nonbox_to_rl_ready/contact_masks/bucket007_20231020_055_p1/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E145_bucket007_20231020_055_p1_raw_mask_ref_fk.yaml	example_datasets/processed/core4d/assets/objects/bucket007/bucket007_m.obj	assets/objects/bucket007	HANDOFF_READY	PASS	5cm	to_run
23	E145_bucket007_20231020_055_p2_raw_mask_ref_fk	bucket007_20231020_055_p2	bucket007	bucket	person2	1	remote-gpu0	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket007_20231020_055_p2	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231020_055_p2/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231020_055_p2/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket007_20231020_055_p2/scene_act.xml	workspace/core4d/results/E145/full_nonbox_to_rl_ready/contact_masks/bucket007_20231020_055_p2/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E145_bucket007_20231020_055_p2_raw_mask_ref_fk.yaml	example_datasets/processed/core4d/assets/objects/bucket007/bucket007_m.obj	assets/objects/bucket007	HANDOFF_READY	PASS	5cm	to_run
