case_id	object_key	e194_worker	e194_runtime_euler_convention	compiled_xml_axis_sequence	e196_worker	wave	scene_act	scene_sha256	scene_act_meta_path	scene_act_meta_sha256	meta_repair_action
box001_20231003_2_041_p1	box001	ada-gpu0	XYZ	XZY	local-gpu0	wave0	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_2_041_p1/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	7de10ee3d4108fac2fcbe4134ede29fd357e13358d07c5e4833351b28b6096c4	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_2_041_p1/scene_act_meta.json	0a2150f97b0253275bef08d1f3643e86feb44005054aaa1e7b0ac4571de1e70c	generated_from_compiled_axes
box001_20231020_010_p1	box001	ada-gpu1	XYZ	XZY	ada-gpu0	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231020_010_p1/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	01cdb27aa82a6ae54ed78ba67cce68fce0cc06c60e51282af8f65544f679a7fb	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231020_010_p1/scene_act_meta.json	40cb82c8fe5a3dc06685d3f06832592d5b7db7cd447fd4061c468f4b8e2f4edb	preserved_existing
box001_20231020_011_p1	box001	local-gpu0	XYZ	ZYX	ada-gpu1	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231020_011_p1/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	2866f84564e52d9bf599cdbd1809f55e04b814d40621fac185fe02dee9bc83cc	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231020_011_p1/scene_act_meta.json	75edfa8c21cd66ad755820b38e88965b10f11e9860e4c9e529415ac4d608d4b9	generated_from_compiled_axes
box001_20231020_014_p1	box001	ada-gpu0	XYZ	XZY	ada-gpu0	wave0	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231020_014_p1/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	0b13f9776b460190e2b9efb3db252c36b9f5a850245485a06eb9d5571c4d899c	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231020_014_p1/scene_act_meta.json	40cb82c8fe5a3dc06685d3f06832592d5b7db7cd447fd4061c468f4b8e2f4edb	preserved_existing
box001_20231020_014_p2	box001	ada-gpu1	XYZ	XZY	ada-gpu1	wave0	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v2_ref_fk_box001_20231020_014_p2/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	526d58e79f293156707b76fd74f8bdfa7aee6301cec4ce924469c6a03a0af103	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v2_ref_fk_box001_20231020_014_p2/scene_act_meta.json	0a2150f97b0253275bef08d1f3643e86feb44005054aaa1e7b0ac4571de1e70c	generated_from_compiled_axes
box001_20231023_107_p2	box001	local-gpu0	XYZ	XZY	local-gpu0	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231023_107_p2/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	e26629bb3ce495d6cae0a18c92fcee4b866b6f380dd867f35b555363ddcea67b	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231023_107_p2/scene_act_meta.json	0a2150f97b0253275bef08d1f3643e86feb44005054aaa1e7b0ac4571de1e70c	generated_from_compiled_axes
box001_20231023_108_p1	box001	ada-gpu0	XYZ	XZY	ada-gpu0	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v2_ref_fk_box001_20231023_108_p1/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	acee348d138cbbcb5f1f34ffc957b053367811013c70c012e2fc75b2b6a82e96	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v2_ref_fk_box001_20231023_108_p1/scene_act_meta.json	0a2150f97b0253275bef08d1f3643e86feb44005054aaa1e7b0ac4571de1e70c	generated_from_compiled_axes
box001_20231023_108_p2	box001	ada-gpu1	XYZ	XZY	ada-gpu1	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231023_108_p2/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	efc851852f0025cebc29c95f05d15d8ee0555cffa55f0dbd4ced73e3aeead137	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231023_108_p2/scene_act_meta.json	0a2150f97b0253275bef08d1f3643e86feb44005054aaa1e7b0ac4571de1e70c	generated_from_compiled_axes
box001_20231023_109_p2	box001	local-gpu0	XYZ	ZYX	local-gpu0	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231023_109_p2/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	1d18716e875a9ad81ed0b1724c6ccd5c7eee058b00bf54887cddcaa51a5338d2	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231023_109_p2/scene_act_meta.json	75edfa8c21cd66ad755820b38e88965b10f11e9860e4c9e529415ac4d608d4b9	generated_from_compiled_axes
box001_20231023_110_p1	box001	ada-gpu0	XYZ	XZY	ada-gpu0	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v2_ref_fk_box001_20231023_110_p1/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	c0f3a0beefb83b7631a01914fb55a8896407ac76f0c467155ed5e227c13e23e1	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v2_ref_fk_box001_20231023_110_p1/scene_act_meta.json	40cb82c8fe5a3dc06685d3f06832592d5b7db7cd447fd4061c468f4b8e2f4edb	preserved_existing
box001_20231023_110_p2	box001	ada-gpu1	XYZ	XZY	ada-gpu1	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231023_110_p2/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	1f65a6985d5ed9e82044a1889d450e487f60f46ca9d6090f5988138a2f69ba2d	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231023_110_p2/scene_act_meta.json	40cb82c8fe5a3dc06685d3f06832592d5b7db7cd447fd4061c468f4b8e2f4edb	preserved_existing
box023_20231008_046_p1	box023	ada-gpu0	XYZ	XZY	local-gpu0	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box023_20231008_046_p1/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	cd50388468445be516c4c3238185aa88100d8c25690770de85fbeca526480de1	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box023_20231008_046_p1/scene_act_meta.json	40cb82c8fe5a3dc06685d3f06832592d5b7db7cd447fd4061c468f4b8e2f4edb	preserved_existing
box023_20231008_046_p2	box023	ada-gpu1	XYZ	XZY	ada-gpu0	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box023_20231008_046_p2/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	333e8f9cbbf309d08b220ea7ca72baaa52e49b92f40a80fd71f4d61e9bad620c	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box023_20231008_046_p2/scene_act_meta.json	40cb82c8fe5a3dc06685d3f06832592d5b7db7cd447fd4061c468f4b8e2f4edb	preserved_existing
box023_20231011_019_p2	box023	ada-gpu0	XYZ	XZY	ada-gpu1	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box023_20231011_019_p2/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	c49d81b91e9acd503d8bc9019c8c970f74ccc493b93dc007c7de679e3ee6880b	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box023_20231011_019_p2/scene_act_meta.json	40cb82c8fe5a3dc06685d3f06832592d5b7db7cd447fd4061c468f4b8e2f4edb	preserved_existing
box023_20231011_021_p1	box023	ada-gpu1	XYZ	ZYX	local-gpu0	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box023_20231011_021_p1/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	ef89dce0b6b56d7c7fece0d3852eb5a0fcc356a9ba0b4f05640a05dca2d7b4c0	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box023_20231011_021_p1/scene_act_meta.json	8a7721efaa78f204293f777175b4e421eff824d45cb20c1296be39d8db4d1a94	preserved_existing
box023_20231020_040_p1	box023	ada-gpu0	XYZ	XZY	ada-gpu0	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box023_20231020_040_p1/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	576b71ca653a3423a7dab5b549a8ea20938e50cb76c3dcc49855fe8253907fae	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box023_20231020_040_p1/scene_act_meta.json	40cb82c8fe5a3dc06685d3f06832592d5b7db7cd447fd4061c468f4b8e2f4edb	preserved_existing
box023_20231020_040_p2	box023	ada-gpu1	XYZ	XZY	ada-gpu1	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box023_20231020_040_p2/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	8a94ee86dac307e66d249547a060c5f95c733b28800c8759c9216295ba5c9469	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box023_20231020_040_p2/scene_act_meta.json	40cb82c8fe5a3dc06685d3f06832592d5b7db7cd447fd4061c468f4b8e2f4edb	preserved_existing
box023_20231020_042_p1	box023	ada-gpu0	XYZ	XZY	local-gpu0	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box023_20231020_042_p1/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	784c039485e202af84703725bec9cbca908b98477dd31e99dd21364c46592b32	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box023_20231020_042_p1/scene_act_meta.json	40cb82c8fe5a3dc06685d3f06832592d5b7db7cd447fd4061c468f4b8e2f4edb	preserved_existing
box023_20231020_042_p2	box023	ada-gpu1	XYZ	XZY	ada-gpu0	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box023_20231020_042_p2/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	3da0f7531aa765d895ea01820fef2d977c1bbb9238c531b601e910acd4e4e791	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box023_20231020_042_p2/scene_act_meta.json	40cb82c8fe5a3dc06685d3f06832592d5b7db7cd447fd4061c468f4b8e2f4edb	preserved_existing
